16.9;1076;0;290878;81;36191;43.5;1.01
14.6;778;23900;6859;80.8;0;47.8;0.68
12.5;889;25500;23329;80.6;31635;45.7;0.65
27.5;48089;23000;34250;79.9;0;39.7;0.74
17.4;599;22800;27162;80.8;210;47.4;1.11
17.6;766;23700;29372;81.4;1035;45.1;1.25
11.6;1268;25200;21004;81.4;430;43.3;0.94
14.4;789;25700;48616;82.1;1730;43.2;0.76
16.3;604;25100;83394;82.2;1151;42.7;0.76
21.9;1563;27700;16892;82.1;0;41.9;0.61
19.5;3773;0;61023;81;35386;41.8;1.81
37.8;75267;20600;18221;80.8;0;35.9;2.18
13.2;4928;24679.01076;31623;82;27022;43.2;1.58
24.6;2166;20868.68314;11179;79.3;8364;41.6;2.09
32.1;634;0;127052;74.4;12005;44.8;1.25
36.6;513;0;95947;73.8;4927;45.9;1.16
42.7;390;5700;3374;73.2;0;48.9;1.03
34.6;531;6900;4868;73.8;0;47.2;1.14
31.6;637;7200;37232;74.1;2069;44.3;1.19
38.2;525;7400;50473;73.9;2858;44.5;1.24
27.6;828;0;31105;75.1;0;43.7;1.34
20.9;1037;14700;18661;75.1;7078;42.8;1.62
37.5;637;7100;12444;75.1;0;45.3;0.94
18.8;2151;0;0;83.1;49490;42.6;1.07
25.4;1997;0;0;83.4;17829;41.1;1.33
21;1930;0;0;82.6;22;43.6;1.09
17.4;6030;0;0;83.2;0;43.5;0.81
13.3;9251;0;0;83.3;31476;41;0.75
15.3;1046;0;0;82.9;107;43.3;1.07
14.2;1919;0;0;83.3;0;43;0.81
26.7;1289;0;0;84.3;56;47.3;2.62
22.3;957;0;43792;82.1;11261;37.7;0.26
12.5;1382;0;141110;78.3;18833;43;1.85
7.9;27143;22600;37029;80;17839;41.6;1.67
9.6;1285;17500;8629;78.1;0;42;1.88
9.6;718;15200;16576;78.4;0;43.4;1.75
21.5;1317;13900;18660;76.5;62;43.4;1.59
12.9;1237;15000;23582;78.6;99;43.4;2.1
12.5;1240;15500;17414;78.9;526;43;1.72
12.9;1332;14200;11912;78.3;0;43.8;2.06
14.9;2262;14100;7308;77.2;307;43.7;2.06
16.3;1385;0;51633;80.3;36043;42.1;0.41
17.5;7560;24900;25155;80.4;30135;39;0.62
12.3;1183;20400;3230;79.7;6;46.3;0.35
16.6;1020;19600;10206;80.4;3847;44.2;0.24
16.3;1037;20800;7776;80.6;612;41.1;0.33
17.7;764;19400;5266;80;1443;43.7;0.34
30;824;0;0;81.1;64521;45.2;0.71
24.8;9875;0;0;80.5;25578;44.6;0.76
24.8;9875;14800;0;80.5;25578;44.6;0.76
33.2;696;0;0;81.9;24416;41.9;0.31
35.5;593;10400;0;82.1;1348;39.9;0.48
34.5;661;15100;0;82;12312;41.8;0.23
31.6;765;11400;0;81.8;10756;42.5;0.29
32.3;605;0;0;81.4;7376;46;0.96
35.2;428;9800;0;80.7;556;45.3;0.79
31.7;1012;11000;0;81.2;6679;45.6;1.12
34.8;288;11400;0;82.4;8;48;0.9
27.6;368;10600;0;82.9;133;48.4;0.38
33.2;465;0;0;81.4;7151;46.4;0.53
28;514;10100;0;81.8;469;46.9;0.82
25.7;894;14500;0;80.6;5560;46.7;0.24
40.9;592;9500;0;81.1;764;45.2;0.51
29.5;361;10000;0;81.6;17;45.9;0.45
36.4;371;10400;0;81.4;341;47.6;0.36
25.3;938;0;933500;82.7;264029;44.3;2.36
23.7;952;0;70305;82.5;7824;48.5;1.07
24.3;920;14800;42402;82.6;5248;48.3;0.6
24.6;966;15200;15938;82.1;1405;50;1.45
19.4;1105;16200;11965;82.9;1171;46.9;2.53
