People in risk of social inclusion(%);Population density;Avg income per household;Number of bedrooms;Age expentacy;Air passengers;Average Age;Death per million
17.5;7560;24900;25155;80.4;30135;39;624.04
12.3;1183;20400;3230;79.7;6;46.3;346.33
16.6;1020;19600;10206;80.4;3847;44.2;241.19
16.3;1037;20800;7776;80.6;612;41.1;332.49
17.7;764;19400;5266;80;1443;43.7;344.11
30;824;0;0;81.1;64521;45.2;707.37
24.8;9875;0;0;80.5;25578;44.6;758.24
24.8;9875;14800;0;80.5;25578;44.6;758.24
33.2;696;0;0;81.9;24416;41.9;309.02
35.5;593;10400;0;82.1;1348;39.9;479.27
34.5;661;15100;0;82;12312;41.8;230.21
31.6;765;11400;0;81.8;10756;42.5;290.65
32.3;605;0;0;81.4;7376;46;960.36
35.2;428;9800;0;80.7;556;45.3;793.50
31.7;1012;11000;0;81.2;6679;45.6;1124.40
34.8;288;11400;0;82.4;8;48;903.01
27.6;368;10600;0;82.9;133;48.4;384.08
33.2;465;0;0;81.4;7151;46.4;528.27
28;514;10100;0;81.8;469;46.9;823.64
25.7;894;14500;0;80.6;5560;46.7;241.20
40.9;592;9500;0;81.1;764;45.2;509.93
29.5;361;10000;0;81.6;17;45.9;447.84
36.4;371;10400;0;81.4;341;47.6;360.04
25.3;938;0;933500;82.7;264029;44.3;2358.78
23.7;952;0;70305;82.5;7824;48.5;1065.32
24.3;920;14800;42402;82.6;5248;48.3;604.97
24.6;966;15200;15938;82.1;1405;50;1447.64
19.4;1105;16200;11965;82.9;1171;46.9;2532.68
16;639;0;50755;83.3;6938;46.1;1272.51
14.4;3037;21400;16636;83.4;6353;47;1507.90
11.7;631;20100;7155;83.6;240;44.3;1541.49
15.2;626;17700;3658;83.2;0;45.5;1997.27
21.1;279;18000;23306;82.9;345;45.7;580.31
19;8397;0;61673;84.7;59747;43.1;1841.54
19;8397;23700;61673;84.7;59747;43.1;1841.54
26;258;0;67008;83.1;242;46.4;1952.32
16.7;256;15800;36888;83.5;242;49.2;2104.69
30.7;258;13800;19307;83;0;43.8;2122.16
37.7;260;12000;10813;82.1;0;45.6;1280.63
21.4;2299;0;411646;82.6;118379;43.7;1061.80
18.8;2381;20300;163872;82.9;54693;43.5;1217.40
27;2162;14800;72404;82.1;23401;44.4;970.31
15.1;2412;18600;175370;82.8;40285;42;458.40
36.9;1031;0;158905;81.4;30864;42.5;686.70
37.7;974;12600;146971;81.3;30414;42.9;708.53
31.9;1324;13700;11094;82.2;22;41.3;640.59
45.9;42229;14000;399;80.7;0;37.7;1355.77
38.5;60415;13000;441;80.2;428;34.4;1148.30
35;2994;0;113208;82;40035;43.7;230.22
35;2994;14100;113208;82;40035;43.7;230.22
11.5;1847;24000;18116;81.6;22049;39.8;278.74
16.3;366;18000;9134;80.7;455;46.4;107.07
19.3;63;16800;20400;80.3;3018;45;71.19
17.1;4475;0;24971;76.8;0;42.3;1943.02
15.6;34338;16700;21235;77.6;16100;42.7;1960.90
19.1;2051;13000;3736;75.6;0;41.8;1918.89
17.8;822;0;31221;75.4;0;44.1;1938.65
13.5;991;12800;8400;75.1;0;43.6;1964.64
16.3;886;12100;13954;76;0;43.9;1980.80
24.6;637;10300;8867;75.2;0;45.1;1859.19
21.1;779;0;18815;74.7;0;43.5;1705.55
23.9;844;9700;6724;73.9;0;43.5;1733.45
24.2;831;10200;7008;74.7;601;42.5;1679.54
14.9;681;11800;5083;75.4;0;44.5;1710.67
16.4;2822;0;185804;82.8;0;48;936.91
16.7;1723;21800;39763;82.2;3997;49.1;2004.54
8.1;386;21000;10818;81.5;0;48.5;3207.13
17.6;2843;20700;33376;82.2;1539;51.4;2136.64
16.2;4358;25400;101847;83.2;49096;47;267.16
41.6;1885;0;187826;82.1;0;45.5;678.11
25;1205;15700;24794;82.8;699;48;1109.02
38.1;682;13900;2997;82.5;0;48.7;861.85
49.7;4222;12600;58326;81.1;10834;43.9;637.76
37.4;2068;13100;46401;82.9;8294;46.3;774.54
34.7;557;13400;8546;82.4;0;47.6;576.59
39.8;1265;11400;46762;82.4;3536;45.9;304.63
43.6;1326;0;101149;82;0;46.4;655.32
48.7;1921;12100;54727;81.6;18182;45.5;676.06
28.1;683;13900;46422;82.9;9097;48.9;592.57
13.2;1923;0;399659;83.1;0;47.8;1914.25
11.1;2820;21600;112193;83.2;18404;47.7;1782.08
13.8;1599;21200;20462;82.7;780;49.7;1905.96
15.5;2019;24000;146367;83.1;9905;47.9;2076.56
21.4;2075;0;218320;83.1;0;47.9;974.38
18.7;1627;20500;86647;83.2;8233;48.9;1115.22
13.3;1055;18100;14060;83.6;218;48.8;863.05
19.1;1619;18900;28122;83.5;482;48.4;1252.09
24.8;3430;20600;89491;82.9;49250;46.9;827.87
