People in risk of social inclusion(%);Population density;Avg income per household;Number of bedrooms;Age expentacy;Air passengers;Average Age;FALSO
16.7;256;15800;36888;83.5;242;49.2;150.4217
30.7;258;13800;19307;83;0;43.8;117.6395
37.7;260;12000;10813;82.1;0;45.6;96.5909
21.4;2299;0;411646;82.6;118379;43.7;1015.4498
18.8;2381;20300;163872;82.9;54693;43.5;591.7464
27;2162;14800;72404;82.1;23401;44.4;304.2552
15.1;2412;18600;175370;82.8;40285;42;519.4363
36.9;1031;0;158905;81.4;30864;42.5;318.8307
37.7;974;12600;146971;81.3;30414;42.9;392.5673
31.9;1324;13700;11094;82.2;22;41.3;114.1501
45.9;42229;14000;399;80.7;0;37.7;309.9833
38.5;60415;13000;441;80.2;428;34.4;396.0467
35;2994;0;113208;82;40035;43.7;328.8076
35;2994;14100;113208;82;40035;43.7;427.5076
11.5;1847;24000;18116;81.6;22049;39.8;305.9489
16.3;366;18000;9134;80.7;455;46.4;139.6591
19.3;63;16800;20400;80.3;3018;45;153.8229
17.1;4475;0;24971;76.8;0;42.3;47.7357
15.6;34338;16700;21235;77.6;16100;42.7;390.7134
19.1;2051;13000;3736;75.6;0;41.8;105.3827
17.8;822;0;31221;75.4;0;44.1;35.7372
13.5;991;12800;8400;75.1;0;43.6;103.3443
16.3;886;12100;13954;76;0;43.9;103.4841
24.6;637;10300;8867;75.2;0;45.1;84.5866
21.1;779;0;18815;74.7;0;43.5;23.1213
23.9;844;9700;6724;73.9;0;43.5;79.2637
24.2;831;10200;7008;74.7;601;42.5;85.9806
14.9;681;11800;5083;75.4;0;44.5;91.4887
16.4;2822;0;185804;82.8;0;48;200.3472
16.7;1723;21800;39763;82.2;3997;49.1;221.4059
8.1;386;21000;10818;81.5;0;48.5;160.1603
17.6;2843;20700;33376;82.2;1539;51.4;200.65
16.2;4358;25400;101847;83.2;49096;47;547.3416
41.6;1885;0;187826;82.1;0;45.5;197.7398
25;1205;15700;24794;82.8;699;48;144.673
38.1;682;13900;2997;82.5;0;48.7;104.2109
49.7;4222;12600;58326;81.1;10834;43.9;222.3063
37.4;2068;13100;46401;82.9;8294;46.3;190.3936
34.7;557;13400;8546;82.4;0;47.6;105.6159
39.8;1265;11400;46762;82.4;3536;45.9;151.0536
43.6;1326;0;101149;82;0;46.4;108.281
48.7;1921;12100;54727;81.6;18182;45.5;240.4521
28.1;683;13900;46422;82.9;9097;48.9;193.0975
13.2;1923;0;399659;83.1;0;47.8;409.696
11.1;2820;21600;112193;83.2;18404;47.7;369.9279
13.8;1599;21200;20462;82.7;780;49.7;181.196
15.5;2019;24000;146367;83.1;9905;47.9;374.4167
21.4;2075;0;218320;83.1;0;47.9;229.1424
18.7;1627;20500;86647;83.2;8233;48.9;279.8943
13.3;1055;18100;14060;83.6;218;48.8;147.5553
19.1;1619;18900;28122;83.5;482;48.4;171.3715
24.8;3430;20600;89491;82.9;49250;46.9;497.5406
